Bag_ID,Object_Name,Material,Detected_Metal_Type,Detector_Signal_Level,Sharp_Object,Metal_Presence,Electronic_Device
BAG_001,Power Bank,Metal,Lithium Alloy,High,No,Yes,Yes
BAG_001,Water Bottle,Plastic,None,High,No,No,No
BAG_001,Keys,Metal,Stainless Steel,High,No,Yes,No
BAG_002,Laptop,Metal,Aluminum,Low,No,Yes,Yes
BAG_002,Watch,Metal,Stainless Steel,High,No,Yes,No
BAG_002,Scissors,Metal,Steel,High,Yes,Yes,No
BAG_002,Watch,Metal,Stainless Steel,Medium,No,Yes,No
BAG_002,Knife,Metal,Steel,Low,Yes,Yes,No
BAG_002,Power Bank,Metal,Lithium Alloy,Low,No,Yes,Yes
BAG_003,Phone,Metal,Aluminum,Low,No,Yes,Yes
BAG_003,Umbrella,Metal,Steel,High,No,Yes,No
BAG_003,Keys,Metal,Stainless Steel,High,No,Yes,No
BAG_003,Umbrella,Metal,Steel,High,No,Yes,No
BAG_004,Umbrella,Metal,Steel,High,No,Yes,No
BAG_004,Water Bottle,Plastic,None,High,No,No,No
BAG_004,Power Bank,Metal,Lithium Alloy,Low,No,Yes,Yes
BAG_005,Laptop,Metal,Aluminum,Medium,No,Yes,Yes
BAG_005,Laptop,Metal,Aluminum,Medium,No,Yes,Yes
BAG_005,Knife,Metal,Steel,Medium,Yes,Yes,No
BAG_005,Knife,Metal,Steel,Medium,Yes,Yes,No
BAG_006,Phone,Metal,Aluminum,Medium,No,Yes,Yes
BAG_006,Scissors,Metal,Steel,Low,Yes,Yes,No
BAG_006,Scissors,Metal,Steel,High,Yes,Yes,No
BAG_006,Knife,Metal,Steel,High,Yes,Yes,No
BAG_006,Power Bank,Metal,Lithium Alloy,Low,No,Yes,Yes
BAG_007,Watch,Metal,Stainless Steel,Medium,No,Yes,No
BAG_007,Umbrella,Metal,Steel,High,No,Yes,No
BAG_007,Power Bank,Metal,Lithium Alloy,High,No,Yes,Yes
BAG_007,Phone,Metal,Aluminum,High,No,Yes,Yes
BAG_008,Knife,Metal,Steel,Low,Yes,Yes,No
BAG_008,Phone,Metal,Aluminum,High,No,Yes,Yes
BAG_008,Knife,Metal,Steel,Low,Yes,Yes,No
BAG_008,Watch,Metal,Stainless Steel,Medium,No,Yes,No
BAG_008,Laptop,Metal,Aluminum,Medium,No,Yes,Yes
BAG_009,Knife,Metal,Steel,Low,Yes,Yes,No
